SPEARMAN CORRELATION COEFFICIENT RESULT FOR SpearmanResult\dsdxd8_Spearman_rA1B2_10Sec.csv
Subject A1, Subject B2, Spearman Result,
dsdxd8,CSV\ajb9b3.csv,0.843288
dsdxd8,CSV\ajdqnf.csv,0.908212
dsdxd8,CSV\amsh7c.csv,0.711148
dsdxd8,CSV\bay6g7.csv,0.852253
dsdxd8,CSV\cjdk88.csv,-1.00056
dsdxd8,CSV\ctkbn4.csv,0.8699
dsdxd8,CSV\dlokv6.csv,0.444368
dsdxd8,CSV\dsdxd8.csv,0.842482
dsdxd8,CSV\dtqb7d.csv,0.897515
dsdxd8,CSV\elnfhc.csv,0.906513
dsdxd8,CSV\habc8.csv,-1.00056
dsdxd8,CSV\hemmb2.csv,0.736581
dsdxd8,CSV\hmnhx4.csv,0.821675
dsdxd8,CSV\hnldm2.csv,0.876315
dsdxd8,CSV\jac345.csv,0.811874
dsdxd8,CSV\jahq76.csv,-1.00056
dsdxd8,CSV\jdf5g4.csv,0.712011
dsdxd8,CSV\jfk535.csv,0.829501
dsdxd8,CSV\jhgn9c.csv,0.601174
dsdxd8,CSV\jkn7fc.csv,0.727291
dsdxd8,CSV\jlgwxc.csv,0.902988
dsdxd8,CSV\jlkm94.csv,0.789019
dsdxd8,CSV\jmd5h8.csv,0.78619
dsdxd8,CSV\jrrgxf.csv,0.866049
dsdxd8,CSV\kab5zb.csv,0.70807
dsdxd8,CSV\kah89f.csv,0.562607
dsdxd8,CSV\kdcncc.csv,0.884963
dsdxd8,CSV\kedgm9.csv,0.817684
dsdxd8,CSV\krh5f5.csv,0.686636
dsdxd8,CSV\lms8m4.csv,0.575156
dsdxd8,CSV\lpnb79.csv,0.438718
dsdxd8,CSV\mjpg95.csv,0.735924
dsdxd8,CSV\mmg9n6.csv,0.557919
dsdxd8,CSV\mtf7w2.csv,-1.00056
dsdxd8,CSV\mwwcn6.csv,0.902416
dsdxd8,CSV\ngtp8b.csv,-1.00056
dsdxd8,CSV\nhm2p3.csv,0.855555
dsdxd8,CSV\njd5zf.csv,0.832202
dsdxd8,CSV\nm8c7.csv,0.907502
dsdxd8,CSV\oro26b.csv,0.876033
dsdxd8,CSV\pecxc9.csv,0.733208
dsdxd8,CSV\pt7td.csv,0.903633
dsdxd8,CSV\rrg3md.csv,0.733186
dsdxd8,CSV\sanfz9.csv,0.816185
dsdxd8,CSV\sbpc42.csv,0.652658
dsdxd8,CSV\smdvw5.csv,0.369348
dsdxd8,CSV\tah5z2.csv,0.765704
dsdxd8,CSV\tcdzb7.csv,0.810332
dsdxd8,CSV\tjdpzd.csv,0.77873
dsdxd8,CSV\tlgdq9.csv,0.859442
dsdxd8,CSV\vvmmvd.csv,0.908689
dsdxd8,CSV\wahbf.csv,0.696249
dsdxd8,CSV\wgocnc.csv,0.749712
dsdxd8,CSV\zws2p8.csv,0.416318
