unix_secs,sysuptime,dpkts,doctets,doctets/dpkts,Real First Packet,Real End Packet,first,last,Duration
1359731696,153081320,1,46,46,1359731670440,1359731670440,153055760,153055760,0
1359733920,155305208,1,48,48,1359733891767,1359733891767,155276975,155276975,0
1359734143,3088807676,5,872,174.4,1359734139238,1359734139238,3088803914,3088803914,0
1359734143,3088807676,9,2150,238.8888889,1359734139494,1359734139494,3088804170,3088804170,0
1359734143,3088807676,42,46854,1115.571429,1359734139494,1359734139558,3088804170,3088804234,64
1359734143,3088807676,8,1570,196.25,1359734139494,1359734139558,3088804170,3088804234,64
1359734143,3088807676,35,42482,1213.771429,1359734139557,1359734139621,3088804233,3088804297,64
1359734143,3088807676,16,15623,976.4375,1359734139557,1359734139621,3088804233,3088804297,64
1359734143,3088807676,8,1624,203,1359734139749,1359734139749,3088804425,3088804425,0
1359734143,3088807676,7,1300,185.7142857,1359734139749,1359734139813,3088804425,3088804489,64
1359734143,3088807676,9,2134,237.1111111,1359734139493,1359734139557,3088804169,3088804233,64
1359734143,3088807676,9,2518,279.7777778,1359734139493,1359734139557,3088804169,3088804233,64
1359734143,3088807676,9,3324,369.3333333,1359734139685,1359734139749,3088804361,3088804425,64
1359734143,3088807676,10,6832,683.2,1359734139749,1359734139749,3088804425,3088804425,0
1359734143,3088807676,10,6336,633.6,1359734139749,1359734139813,3088804425,3088804489,64
1359734143,3088807676,9,2374,263.7777778,1359734139813,1359734139813,3088804489,3088804489,0
1359734143,3088807696,11,8446,767.8181818,1359734139282,1359734139410,3088803978,3088804106,128
1359734143,3088807696,10,5140,514,1359734139218,1359734139282,3088803914,3088803978,64
1359734143,3088807696,8,1058,132.25,1359734139410,1359734139474,3088804106,3088804170,64
1359734143,3088807696,27,30733,1138.259259,1359734139474,1359734139538,3088804170,3088804234,64
1359734143,3088807696,8,1858,232.25,1359734139474,1359734139538,3088804170,3088804234,64
1359734143,3088807696,9,2198,244.2222222,1359734139538,1359734139602,3088804234,3088804298,64
1359734143,3088807696,8,1432,179,1359734139730,1359734139730,3088804426,3088804426,0
1359734143,3088807696,12,9933,827.75,1359734139729,1359734139729,3088804425,3088804425,0
1359734143,3088807696,8,1304,163,1359734139729,1359734139793,3088804425,3088804489,64
1359734143,3088807696,8,1576,197,1359734139857,1359734139921,3088804553,3088804617,64
1359734158,155543180,9,3050,338.8888889,1359734133265,1359734133521,155518445,155518701,256
1359734159,3088823672,11,8478,770.7272727,1359734151912,1359734152424,3088816584,3088817096,512
1359734165,155551084,18,4765,264.7222222,1359734138376,1359734138632,155524460,155524716,256
1359734167,3088831676,8,1170,146.25,1359734165092,1359734165860,3088829768,3088830536,768
1359734167,3088831680,10,6826,682.6,1359734165858,1359734165986,3088830538,3088830666,128
1359734167,3088831680,9,3686,409.5555556,1359734165986,1359734166050,3088830666,3088830730,64
1359734167,3088831680,9,5558,617.5555556,1359734166050,1359734166114,3088830730,3088830794,64
1359734167,3088831680,10,6346,634.6,1359734166050,1359734166114,3088830730,3088830794,64
1359734167,3088831680,12,9426,785.5,1359734166113,1359734166305,3088830793,3088830985,192
1359734167,3088831680,11,8126,738.7272727,1359734166049,1359734166113,3088830729,3088830793,64
